preffix,namespace,comments,date,status-type,Comments,contributor,resolution
dpv,https://w3id.org/dpv#,DPV Specification,2022-02-09,approved,,,https://www.w3.org/2022/02/09-dpvcg-minutes.html
risk,https://w3id.org/dpv/risk#,"Risk Assessment, Management, and Controls",2022-06-22,approved,,,https://www.w3.org/2022/06/22-dpvcg-minutes.html
dex,https://w3id.org/dpv/examples#,Examples for DPV and associated vocabularies,2022-10-22,approved,,,
rights,https://w3id.org/dpv/rights#,Rights extension for DPV,,,,,
ucr,https://w3id.org/dpv/use-cases#,Use-Cases and Requirements for DPV,,,,,
nace,https://w3id.org/dpv/nace#,NACE vocabulary in RDFS,,approved,,,
eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr#,EU-GDPR concepts extended DPV,,approved,,,
pd,https://w3id.org/dpv/pd#,Personal Data concepts extended DPV,,approved,,,
tech,https://w3id.org/dpv/tech#,Technology concepts extended DPV,,approved,,,
legal,https://w3id.org/dpv/legal#,Legal concepts extended DPV,,approved,,,
risk,https://w3id.org/dpv/risk#,Risk Management concepts extended DPV,,approved,,,
eu-rights,https://w3id.org/dpv/rights/eu#,EU-Rights concepts extended DPV,,approved,,,
eu-dga,https://w3id.org/dpv/legal/eu/dga#,EU-DGA concepts extended DPV,,approved,,,
loc,https://w3id.org/dpv/loc#,Location concepts extended DPV,,approved,,,
legal-eu,https://w3id.org/dpv/legal/eu#,"Laws, Authorities, and other Legal concepts for European Union (EU) as Jurisdiction",,approved,,,
legal-de,https://w3id.org/dpv/legal/de#,"Laws, Authorities, and other Legal concepts for Germany (DE) as Jurisdiction",,approved,,,
legal-ie,https://w3id.org/dpv/legal/ie#,"Laws, Authorities, and other Legal concepts for Ireland (IE) as Jurisdiction",,approved,,,
legal-gb,https://w3id.org/dpv/legal/gb#,"Laws, Authorities, and other Legal concepts for United Kingdom (GB) as Jurisdiction",,approved,,,
legal-us,https://w3id.org/dpv/legal/us#,"Laws, Authorities, and other Legal concepts for United States of America (USA) as Jurisdiction",,approved,,,
